,ts_code,end_date,symbol,mkv,amount,stk_mkv_ratio
108,510300.SH,20181231,600010.SH,84007564.64,56761868.0,0.25
109,510300.SH,20181231,600196.SH,83488664.48,3587824.0,0.25
110,510300.SH,20181231,000895.SZ,83333373.48,3532572.0,0.25
111,510300.SH,20181231,601600.SH,82960691.95,23369209.0,0.25
112,510300.SH,20181231,601111.SH,81882930.04,10717661.0,0.25
113,510300.SH,20181231,603993.SH,81737098.4,21738590.0,0.25
114,510300.SH,20181231,600029.SH,81325425.2,12247805.0,0.24
115,510300.SH,20181231,300142.SZ,81173663.0,4249930.0,0.24
116,510300.SH,20181231,600487.SH,80970910.35,4749027.0,0.24
117,510300.SH,20181231,002202.SZ,80615743.56,8069644.0,0.24
118,510300.SH,20181231,600606.SH,79387327.76,12993016.0,0.24
119,510300.SH,20181231,600383.SH,79040546.26,8216273.0,0.24
120,510300.SH,20181231,601155.SH,78539220.1,3315290.0,0.24
121,510300.SH,20181231,300003.SZ,77828567.6,3739960.0,0.23
122,510300.SH,20181231,601901.SH,77686744.32,14630272.0,0.23
123,510300.SH,20181231,600547.SH,77425843.0,2559532.0,0.23
124,510300.SH,20181231,601377.SH,77384068.64,16677601.0,0.23
125,510300.SH,20181231,601877.SH,77315588.88,3189587.0,0.23
126,510300.SH,20181231,600221.SH,77054657.6,40986520.0,0.23
127,510300.SH,20181231,600588.SH,74785066.8,3511036.0,0.22
128,510300.SH,20181231,600332.SH,74509178.4,2083590.0,0.22
129,510300.SH,20181231,002736.SZ,72213355.17,8627641.0,0.22
130,510300.SH,20181231,300124.SZ,71876195.92,3568828.0,0.22
131,510300.SH,20181231,600893.SH,71809773.48,3306159.0,0.22
132,510300.SH,20181231,002466.SZ,71450347.8,2436915.0,0.21
133,510300.SH,20181231,600637.SH,71227340.8,6955795.0,0.21
134,510300.SH,20181231,000783.SZ,70956030.5,13777870.0,0.21
135,510300.SH,20181231,600176.SH,70950724.0,7337200.0,0.21
136,510300.SH,20181231,002236.SZ,70059701.52,6113412.0,0.21
137,510300.SH,20181231,600482.SH,69779904.93,3133359.0,0.21
138,510300.SH,20181231,601618.SH,69570538.28,22369948.0,0.21
139,510300.SH,20181231,600522.SH,69523746.15,8530521.0,0.21
140,510300.SH,20181231,002007.SZ,69365735.2,2114809.0,0.21
141,510300.SH,20181231,600867.SH,69026121.2,4965908.0,0.21
142,510300.SH,20181231,600023.SH,68614571.96,14506252.0,0.21
143,510300.SH,20181231,600498.SH,68481738.0,2405400.0,0.21
144,510300.SH,20181231,600100.SH,68059316.43,6994791.0,0.2
145,510300.SH,20181231,600111.SH,68046166.9,7758970.0,0.2
146,510300.SH,20181231,600705.SH,67723535.68,15972532.0,0.2
