,train_return,test_return,sum
416,42.32463,56.74125,1.004
920,41.980309999999996,56.72628,1.004
732,43.56149,56.7255,1.004
536,42.70569999999999,56.70418,1.004
575,42.12464,56.68602,1.004
579,41.690690000000004,56.67163000000001,1.004
202,42.87414,56.66571999999999,1.004
289,43.369910000000004,56.65603,1.004
976,43.173370000000006,56.64465,1.004
578,44.13090000000001,56.618739999999995,1.004
983,43.091750000000005,56.617709999999995,1.004
637,41.8405,56.57598,1.004
29,43.61534,56.54647,1.004
641,41.68652,56.54514999999999,1.004
758,43.50363,56.510769999999994,1.004
624,40.88663,56.483779999999996,1.004
499,41.844629999999995,56.461589999999994,1.004
893,43.13204,56.408500000000004,1.004
209,41.8106,56.40028,1.004
762,43.109390000000005,56.38699,1.004
546,41.78757,56.367450000000005,1.004
134,42.646950000000004,56.33913,1.004
358,41.442400000000006,56.33633,1.004
418,42.33296,56.327749999999995,1.004
327,40.81497,56.31487,1.004
267,43.624159999999996,56.30077,1.004
958,41.162890000000004,56.28349,1.004
717,42.149280000000005,56.2744,1.004
538,40.86633,56.273390000000006,1.004
932,41.53559,56.24571,1.004
839,42.872119999999995,56.22098,1.004
75,40.313379999999995,56.200689999999994,1.004
986,42.51459,56.19083,1.004
709,42.432750000000006,56.17600999999999,1.004
222,40.888980000000004,56.14577,1.004
586,41.331500000000005,56.1447,1.004
985,42.89701,56.12966,1.004
880,42.68533000000001,56.11493,1.004
944,42.83729,56.112489999999994,1.004
544,41.99981,56.08565,1.004
157,41.95743,56.051959999999994,1.004
663,41.30991,56.04131,1.004
398,42.743269999999995,56.03684,1.004
535,41.25281,56.02535999999999,1.004
991,42.03309,56.02133,1.004
988,42.342380000000006,56.000399999999985,1.004
531,41.79180000000001,55.99502,1.004
657,41.49811,55.99485,1.004
90,41.08234,55.980700000000006,1.004
647,42.899060000000006,55.978899999999996,1.004
516,41.72471,55.97655,1.004
933,41.009280000000004,55.97219,1.004
915,41.17089,55.94592,1.004
167,41.45518,55.940960000000004,1.004
123,40.911950000000004,55.922889999999995,1.0040000000000002
360,41.74946,55.894479999999994,1.004
476,41.80799,55.86399,1.004
60,41.14692,55.84411,1.004
155,42.38923,55.80194999999999,1.004
605,42.29906,55.76978,1.004
210,40.69509000000001,55.757979999999996,1.004
955,41.04275,55.750409999999995,1.004
750,42.13771,55.74527,1.004
913,41.80978,55.738299999999995,1.004
840,42.65327,55.7033,1.004
347,41.43567,55.67322999999999,1.004
603,41.03768,55.664770000000004,1.004
466,40.85727,55.62845,1.004
49,43.328,55.62791,1.004
323,42.12517,55.616679999999995,1.004
274,42.77068,55.615390000000005,1.004
525,42.78604,55.588849999999994,1.004
265,41.59028,55.581999999999994,1.004
412,43.71999,55.54211000000001,1.004
185,40.68248,55.53859,1.0040000000000002
901,41.46149,55.53818,1.004
206,40.7215,55.53386,1.004
628,43.52874,55.486869999999996,1.004
388,41.12684,55.47875,1.004
908,42.354969999999994,55.46199,1.004
979,41.594190000000005,55.45475999999999,1.004
740,41.85163,55.444590000000005,1.004
472,43.08022,55.43856,1.004
745,41.65711,55.4328,1.004
952,43.08735,55.428129999999996,1.004
228,42.359899999999996,55.42229,1.004
324,42.099360000000004,55.420289999999994,1.004
769,42.38108,55.38977,1.004
458,41.76568,55.36107,1.004
223,42.4367,55.29030000000001,1.004
747,42.20130999999999,55.28855,1.004
64,44.182339999999996,55.27749,1.004
293,42.47426,55.27222999999999,1.004
870,40.58679000000001,55.25965,1.004
88,41.90038,55.23941,1.004
608,42.27462,55.221180000000004,1.004
889,43.13228,55.21185,1.004
602,40.52954,55.21127,1.004
512,42.123,55.20733,1.0040000000000002
