,ts_code,end_date,bz_item,bz_sales,bz_profit,bz_cost,curr_type
150,000008.SZ,20161231,工务维护系列,308637653.69,145183926.85,163453726.84,CNY
151,000008.SZ,20161231,其他,108272425.64,60808967.52,47463458.12,CNY
152,000008.SZ,20161231,酒店,177934722.14,74938899.34,102995822.8,CNY
153,000008.SZ,20170630,机车车辆运营维护系列,292600746.0,129835405.99,162765340.01,CNY
154,000008.SZ,20170630,供电系统运营维护系列,24647251.1,12612723.28,12034527.82,CNY
155,000008.SZ,20170630,轨道交通信号系统,107293757.97,45487835.65,61805922.32,CNY
156,000008.SZ,20170630,工务维护系列,126183746.16,63101881.18,63081864.98,CNY
157,000008.SZ,20170630,其他主营业务,17717694.89,11998956.92,5718737.97,CNY
158,000008.SZ,20171231,机车车辆运营维护系列,1148822816.75,533708204.78,615114611.97,CNY
159,000008.SZ,20171231,供电系统运营维护系列,145793281.91,82689739.63,63103542.28,CNY
160,000008.SZ,20171231,轨道交通信号系统,399093855.31,206905024.19,192188831.12,CNY
161,000008.SZ,20171231,工务维护系列,497840099.56,235561484.45,262278615.11,CNY
162,000008.SZ,20171231,其他主营业务,139382107.63,80876914.86,58505192.77,CNY
163,000008.SZ,20180630,机车车辆运营维护系列,460457543.61,230225333.94,230232209.67,CNY
164,000008.SZ,20180630,供电系统运营维护系列,19080389.78,8994981.94,10085407.84,CNY
165,000008.SZ,20180630,轨道交通信号系统,151507214.73,77082869.75,74424344.98,CNY
166,000008.SZ,20180630,工务维护系列,71180607.07,41520583.84,29660023.23,CNY
167,000008.SZ,20180630,其他主营业务,27778501.7,15328427.84,12450073.86,CNY
168,000009.SZ,20151231,高新技术,2083651700.36,686588516.43,1397063183.93,CNY
169,000009.SZ,20151231,医药,1867744517.57,749140247.42,1118604270.15,CNY
170,000009.SZ,20151231,其他业务,30049428.95,,,CNY
171,000009.SZ,20151231,房地产,675830814.0,165935216.62,509895597.38,CNY
172,000009.SZ,20151231,其他,238124379.84,25660262.8,212464117.04,CNY
173,000009.SZ,20160630,房地产,379449995.71,76006620.04,303443375.67,CNY
174,000009.SZ,20160630,其他业务,21250108.18,14686166.02,6563942.16,CNY
175,000009.SZ,20160630,高新技术,1280171224.44,441178149.25,838993075.19,CNY
176,000009.SZ,20160630,医药,992320293.79,384280017.15,608040276.64,CNY
177,000009.SZ,20160630,其他,139717404.21,34646630.55,105070773.66,CNY
178,000009.SZ,20161231,高新技术,2923832155.62,928237570.11,1995594585.51,CNY
179,000009.SZ,20161231,医药,2203381990.44,820167727.85,1383214262.59,CNY
180,000009.SZ,20161231,房地产,999198071.69,198786784.8,800411286.89,CNY
